"filename", "language", "JSON", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\assets\css\custom.css", "CSS", 0, 0, 79, 1, 21, 101
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\blog.html", "HTML", 0, 105, 0, 2, 2, 109
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\blog_style.css", "CSS", 0, 0, 65, 0, 2, 67
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\contact.html", "HTML", 0, 126, 0, 2, 7, 135
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\contact_style.css", "CSS", 0, 0, 50, 0, 0, 50
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\index.html", "HTML", 0, 311, 0, 6, 3, 320
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\Week4-Day4_HTML-Group-Project-main\team.html", "HTML", 0, 364, 0, 5, 3, 372
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\package-lock.json", "JSON", 40, 0, 0, 0, 1, 41
"c:\Users\Daphne\Week4-Day4_HTML-Group-Project-main\package.json", "JSON", 5, 0, 0, 0, 1, 6
"Total", "-", 45, 906, 194, 16, 40, 1201